Nam,Htb,Hmax,Ngay_max,Thang_max,Hmin,Ngay_min,Thang_min
1994.0,176.0,568.0,1.0, IX ,0.0,10.0,V   
1995.0,121.0,486.0,1.0, IX ,21.0,31.0, XII
1996.0,153.0,551.0,7.0, XI ,16.0,9.0,III 
1997.0,158.0,592.0,29.0,VII ,24.0,12.0,VI  
1998.0,91.0,379.0,2.0,VII ,6.0,26.0,IV  
1999.0,122.0,348.0,27.0,V   ,9.0,22.0,III 
2000.0,116.0,362.0,18.0, X  ,11.0,7.0,IV  
2001.0,154.0,538.0,24.0,VII ,6.0,2.0,II  
2002.0,104.0,303.0,19.0,V   ,7.0,14.0,IV  
2003.0,118.0,528.0,26.0,VII ,12.0,5.0,IV  
2004.0,97.0,473.0,25.0,VII ,6.0,7.0,III 
2005.0,113.0,526.0,30.0, IX ,6.0,3.0,III 
2006.0,99.0,564.0,20.0,VIII,7.0,12.0,IV  
2007.0,95.0,513.0,7.0, X  ,13.0,10.0,III 
2008.0,138.0,634.0,3.0, XI ,0.0,6.0,V   
2009.0,96.0,467.0,18.0,VII ,-1.0,26.0, XII
2010.0,79.0,555.0,29.0,VIII,-28.0,16.0,I   
2011.0,113.0,396.0,7.0,VIII,-23.0,19.0,IV  
2012.0,114.0,474.0,20.0,VIII,-24.0,5.0,V   
2013.0,121.0,595.0,10.0,VIII,-10.0,22.0,III 
2014.0,96.0,433.0,31.0,VIII,-23.0,22.0,I   
2015.0,79.0,445.0,20.0, IX ,-19.0,20.0,IV  
2016.0,108.0,573.0,22.0,VIII,-12.0,17.0,VI  
2017.0,141.0,620.0,14.0, X  ,-16.0,13.0,IV  
