Ngay_thang_nam,Nam,Thang,Ngay,H
2017-01-01,2017,1,1,43.0
2017-01-02,2017,1,2,40.0
2017-01-03,2017,1,3,35.0
2017-01-04,2017,1,4,30.0
2017-01-05,2017,1,5,27.0
2017-01-06,2017,1,6,20.0
2017-01-07,2017,1,7,8.0
2017-01-08,2017,1,8,2.0
2017-01-09,2017,1,9,13.0
2017-01-10,2017,1,10,17.0
2017-01-11,2017,1,11,29.0
2017-01-12,2017,1,12,71.0
2017-01-13,2017,1,13,108.0
2017-01-14,2017,1,14,122.0
2017-01-15,2017,1,15,124.0
2017-01-16,2017,1,16,111.0
2017-01-17,2017,1,17,98.0
2017-01-18,2017,1,18,80.0
2017-01-19,2017,1,19,63.0
2017-01-20,2017,1,20,50.0
2017-01-21,2017,1,21,39.0
2017-01-22,2017,1,22,41.0
2017-01-23,2017,1,23,52.0
2017-01-24,2017,1,24,54.0
2017-01-25,2017,1,25,60.0
2017-01-26,2017,1,26,70.0
2017-01-27,2017,1,27,75.0
2017-01-28,2017,1,28,76.0
2017-01-29,2017,1,29,71.0
2017-01-30,2017,1,30,63.0
2017-01-31,2017,1,31,56.0
2017-02-01,2017,2,1,44.0
2017-02-02,2017,2,2,42.0
2017-02-03,2017,2,3,33.0
2017-02-04,2017,2,4,36.0
2017-02-05,2017,2,5,34.0
2017-02-06,2017,2,6,48.0
2017-02-07,2017,2,7,63.0
2017-02-08,2017,2,8,80.0
2017-02-09,2017,2,9,85.0
2017-02-10,2017,2,10,79.0
2017-02-11,2017,2,11,77.0
2017-02-12,2017,2,12,72.0
2017-02-13,2017,2,13,66.0
2017-02-14,2017,2,14,57.0
2017-02-15,2017,2,15,50.0
2017-02-16,2017,2,16,47.0
2017-02-17,2017,2,17,45.0
2017-02-18,2017,2,18,29.0
2017-02-19,2017,2,19,20.0
2017-02-20,2017,2,20,37.0
2017-02-21,2017,2,21,47.0
2017-02-22,2017,2,22,48.0
2017-02-23,2017,2,23,45.0
2017-02-24,2017,2,24,43.0
2017-02-25,2017,2,25,34.0
2017-02-26,2017,2,26,32.0
2017-02-27,2017,2,27,32.0
2017-02-28,2017,2,28,31.0
2017-03-01,2017,3,1,26.0
2017-03-02,2017,3,2,15.0
2017-03-03,2017,3,3,16.0
2017-03-04,2017,3,4,17.0
2017-03-05,2017,3,5,23.0
2017-03-06,2017,3,6,28.0
2017-03-07,2017,3,7,25.0
2017-03-08,2017,3,8,33.0
2017-03-09,2017,3,9,46.0
2017-03-10,2017,3,10,54.0
2017-03-11,2017,3,11,55.0
2017-03-12,2017,3,12,53.0
2017-03-13,2017,3,13,53.0
2017-03-14,2017,3,14,53.0
2017-03-15,2017,3,15,44.0
2017-03-16,2017,3,16,38.0
2017-03-17,2017,3,17,42.0
2017-03-18,2017,3,18,40.0
2017-03-19,2017,3,19,40.0
2017-03-20,2017,3,20,44.0
2017-03-21,2017,3,21,44.0
2017-03-22,2017,3,22,46.0
2017-03-23,2017,3,23,42.0
2017-03-24,2017,3,24,39.0
2017-03-25,2017,3,25,40.0
2017-03-26,2017,3,26,39.0
2017-03-27,2017,3,27,38.0
2017-03-28,2017,3,28,43.0
2017-03-29,2017,3,29,43.0
2017-03-30,2017,3,30,32.0
2017-03-31,2017,3,31,26.0
2017-04-01,2017,4,1,29.0
2017-04-02,2017,4,2,42.0
2017-04-03,2017,4,3,56.0
2017-04-04,2017,4,4,58.0
2017-04-05,2017,4,5,54.0
2017-04-06,2017,4,6,48.0
2017-04-07,2017,4,7,42.0
2017-04-08,2017,4,8,34.0
2017-04-09,2017,4,9,30.0
2017-04-10,2017,4,10,25.0
2017-04-11,2017,4,11,16.0
2017-04-12,2017,4,12,9.0
2017-04-13,2017,4,13,1.0
2017-04-14,2017,4,14,1.0
2017-04-15,2017,4,15,10.0
2017-04-16,2017,4,16,20.0
2017-04-17,2017,4,17,27.0
2017-04-18,2017,4,18,32.0
2017-04-19,2017,4,19,38.0
2017-04-20,2017,4,20,37.0
2017-04-21,2017,4,21,32.0
2017-04-22,2017,4,22,46.0
2017-04-23,2017,4,23,56.0
2017-04-24,2017,4,24,61.0
2017-04-25,2017,4,25,57.0
2017-04-26,2017,4,26,46.0
2017-04-27,2017,4,27,45.0
2017-04-28,2017,4,28,60.0
2017-04-29,2017,4,29,66.0
2017-04-30,2017,4,30,65.0
2017-05-01,2017,5,1,65.0
2017-05-02,2017,5,2,63.0
2017-05-03,2017,5,3,53.0
2017-05-04,2017,5,4,43.0
2017-05-05,2017,5,5,31.0
2017-05-06,2017,5,6,15.0
2017-05-07,2017,5,7,13.0
2017-05-08,2017,5,8,15.0
2017-05-09,2017,5,9,21.0
2017-05-10,2017,5,10,23.0
2017-05-11,2017,5,11,28.0
2017-05-12,2017,5,12,40.0
2017-05-13,2017,5,13,53.0
2017-05-14,2017,5,14,65.0
2017-05-15,2017,5,15,70.0
2017-05-16,2017,5,16,67.0
2017-05-17,2017,5,17,61.0
2017-05-18,2017,5,18,55.0
2017-05-19,2017,5,19,55.0
2017-05-20,2017,5,20,60.0
2017-05-21,2017,5,21,64.0
2017-05-22,2017,5,22,60.0
2017-05-23,2017,5,23,54.0
2017-05-24,2017,5,24,49.0
2017-05-25,2017,5,25,54.0
2017-05-26,2017,5,26,60.0
2017-05-27,2017,5,27,63.0
2017-05-28,2017,5,28,63.0
2017-05-29,2017,5,29,67.0
2017-05-30,2017,5,30,69.0
2017-05-31,2017,5,31,64.0
2017-06-01,2017,6,1,57.0
2017-06-02,2017,6,2,41.0
2017-06-03,2017,6,3,19.0
2017-06-04,2017,6,4,4.0
2017-06-05,2017,6,5,-2.0
2017-06-06,2017,6,6,-1.0
2017-06-07,2017,6,7,9.0
2017-06-08,2017,6,8,28.0
2017-06-09,2017,6,9,55.0
2017-06-10,2017,6,10,70.0
2017-06-11,2017,6,11,72.0
2017-06-12,2017,6,12,73.0
2017-06-13,2017,6,13,66.0
2017-06-14,2017,6,14,70.0
2017-06-15,2017,6,15,71.0
2017-06-16,2017,6,16,66.0
2017-06-17,2017,6,17,56.0
2017-06-18,2017,6,18,53.0
2017-06-19,2017,6,19,54.0
2017-06-20,2017,6,20,62.0
2017-06-21,2017,6,21,68.0
2017-06-22,2017,6,22,79.0
2017-06-23,2017,6,23,99.0
2017-06-24,2017,6,24,109.0
2017-06-25,2017,6,25,127.0
2017-06-26,2017,6,26,173.0
2017-06-27,2017,6,27,190.0
2017-06-28,2017,6,28,185.0
2017-06-29,2017,6,29,187.0
2017-06-30,2017,6,30,204.0
2017-07-01,2017,7,1,212.0
2017-07-02,2017,7,2,205.0
2017-07-03,2017,7,3,186.0
2017-07-04,2017,7,4,159.0
2017-07-05,2017,7,5,145.0
2017-07-06,2017,7,6,163.0
2017-07-07,2017,7,7,179.0
2017-07-08,2017,7,8,215.0
2017-07-09,2017,7,9,275.0
2017-07-10,2017,7,10,275.0
2017-07-11,2017,7,11,252.0
2017-07-12,2017,7,12,240.0
2017-07-13,2017,7,13,241.0
2017-07-14,2017,7,14,243.0
2017-07-15,2017,7,15,240.0
2017-07-16,2017,7,16,265.0
2017-07-17,2017,7,17,325.0
2017-07-18,2017,7,18,481.0
2017-07-19,2017,7,19,531.0
2017-07-20,2017,7,20,534.0
2017-07-21,2017,7,21,536.0
2017-07-22,2017,7,22,533.0
2017-07-23,2017,7,23,507.0
2017-07-24,2017,7,24,472.0
2017-07-25,2017,7,25,439.0
2017-07-26,2017,7,26,407.0
2017-07-27,2017,7,27,375.0
2017-07-28,2017,7,28,351.0
2017-07-29,2017,7,29,328.0
2017-07-30,2017,7,30,291.0
2017-07-31,2017,7,31,245.0
2017-08-01,2017,8,1,280.0
2017-08-02,2017,8,2,313.0
2017-08-03,2017,8,3,311.0
2017-08-04,2017,8,4,304.0
2017-08-05,2017,8,5,300.0
2017-08-06,2017,8,6,301.0
2017-08-07,2017,8,7,298.0
2017-08-08,2017,8,8,289.0
2017-08-09,2017,8,9,272.0
2017-08-10,2017,8,10,240.0
2017-08-11,2017,8,11,204.0
2017-08-12,2017,8,12,168.0
2017-08-13,2017,8,13,131.0
2017-08-14,2017,8,14,100.0
2017-08-15,2017,8,15,115.0
2017-08-16,2017,8,16,173.0
2017-08-17,2017,8,17,243.0
2017-08-18,2017,8,18,305.0
2017-08-19,2017,8,19,343.0
2017-08-20,2017,8,20,332.0
2017-08-21,2017,8,21,313.0
2017-08-22,2017,8,22,291.0
2017-08-23,2017,8,23,269.0
2017-08-24,2017,8,24,259.0
2017-08-25,2017,8,25,251.0
2017-08-26,2017,8,26,252.0
2017-08-27,2017,8,27,251.0
2017-08-28,2017,8,28,240.0
2017-08-29,2017,8,29,231.0
2017-08-30,2017,8,30,238.0
2017-08-31,2017,8,31,250.0
2017-09-01,2017,9,1,254.0
2017-09-02,2017,9,2,243.0
2017-09-03,2017,9,3,225.0
2017-09-04,2017,9,4,207.0
2017-09-05,2017,9,5,191.0
2017-09-06,2017,9,6,174.0
2017-09-07,2017,9,7,159.0
2017-09-08,2017,9,8,149.0
2017-09-09,2017,9,9,144.0
2017-09-10,2017,9,10,182.0
2017-09-11,2017,9,11,230.0
2017-09-12,2017,9,12,244.0
2017-09-13,2017,9,13,242.0
2017-09-14,2017,9,14,242.0
2017-09-15,2017,9,15,236.0
2017-09-16,2017,9,16,309.0
2017-09-17,2017,9,17,416.0
2017-09-18,2017,9,18,435.0
2017-09-19,2017,9,19,431.0
2017-09-20,2017,9,20,431.0
2017-09-21,2017,9,21,436.0
2017-09-22,2017,9,22,411.0
